Zip Code,Location
58784,"Stanley, North Dakota"
59029,"Fromberg, Montana"
59047,"Livingston, Montana"
59072,"Roundup, Montana"
59106,"Billings, Montana"
59253,"Peerless, Montana"
59404,"Great Falls, Montana"
59414,"Black Eagle, Montana"
59450,"Highwood, Montana"
59482,"Sunburst, Montana"
59642,"Ringling, Montana"
59754,"Twin Bridges, Montana"
60022,"Glencoe, Illinois"
60061,"Vernon Hills, Illinois"
60070,"Prospect Heights, Illinois"
60110,"Carpentersville, Illinois"
60113,"Creston, Illinois"
60124,"Elgin, Illinois"
60178,"Sycamore, Illinois"
60408,"Braidwood, Illinois"
60422,"Flossmoor, Illinois"
60431,"Joliet, Illinois"
60470,"Ransom, Illinois"
60480,"Willow Springs, Illinois"
60560,"Yorkville, Illinois"
60714,"Niles, Illinois"
60926,"Claytonville, Illinois"
60933,"Elliott, Illinois"
60957,"Paxton, Illinois"
61027,"Eleroy, Illinois"
61472,"Rio, Illinois"
61480,"Stronghurst, Illinois"
61524,"Dunfermline, Illinois"
61528,"Edwards, Illinois"
61563,"Saint David, Illinois"
61749,"Kenney, Illinois"
62014,"Bunker Hill, Illinois"
62083,"Rosamond, Illinois"
62233,"Chester, Illinois"
62237,"Coulterville, Illinois"
62305,"Quincy, Illinois"
62374,"Tennessee, Illinois"
62378,"Versailles, Illinois"
62424,"Dieterich, Illinois"
62540,"Kincaid, Illinois"
62622,"Bluff Springs, Illinois"
62644,"Havana, Illinois"
62673,"Oakford, Illinois"
62931,"Elizabethtown, Illinois"
62956,"Karnak, Illinois"
62957,"McClure, Illinois"
62966,"Murphysboro, Illinois"
62984,"Shawneetown, Illinois"
63047,"Hematite, Missouri"
63050,"Hillsboro, Missouri"
63136,"Saint Louis, Missouri"
63349,"Hawk Point, Missouri"
63548,"Lancaster, Missouri"
63630,"Cadet, Missouri"
63780,"Scott City, Missouri"
63782,"Sturdivant, Missouri"
63823,"Bertrand, Missouri"
63837,"Clarkton, Missouri"
63841,"Dexter, Missouri"
63876,"Senath, Missouri"
63944,"Greenville, Missouri"
64096,"Waverly, Missouri"
64470,"Mound City, Missouri"
64484,"Rushville, Missouri"
64489,"Stanberry, Missouri"
64501,"Saint Joseph, Missouri"
64503,"Saint Joseph, Missouri"
64624,"Braymer, Missouri"
64640,"Gallatin, Missouri"
64642,"Gilman City, Missouri"
64648,"Jamesport, Missouri"
64671,"Polo, Missouri"
64676,"Rothville, Missouri"
64750,"Harwood, Missouri"
64762,"Liberal, Missouri"
64804,"Joplin, Missouri"
65026,"Eldon, Missouri"
65068,"Prairie Home, Missouri"
65254,"Glasgow, Missouri"
65258,"Holliday, Missouri"
65444,"Bucyrus, Missouri"
65484,"Huggins, Missouri"
65631,"Clever, Missouri"
65667,"Hartville, Missouri"
65791,"Thayer, Missouri"
66050,"Lecompton, Kansas"
66109,"Kansas City, Kansas"
66226,"Shawnee, Kansas"
66404,"Baileyville, Kansas"
66415,"Centralia, Kansas"
66424,"Everest, Kansas"
66701,"Fort Scott, Kansas"
66769,"Redfield, Kansas"
66830,"Admire, Kansas"
66839,"Burlington, Kansas"
66864,"Neosho Rapids, Kansas"
66869,"Strong City, Kansas"
66933,"Barnes, Kansas"
67017,"Benton, Kansas"
67026,"Clearwater, Kansas"
67031,"Conway Springs, Kansas"
67041,"Elbing, Kansas"
67049,"Freeport, Kansas"
67106,"Milton, Kansas"
67109,"Mullinville, Kansas"
67114,"Newton, Kansas"
67460,"Mcpherson, Kansas"
